,SERIES,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,% Change 2016-2015
Ethiopia,TFR,,,,"1,178","1,382","1,495","1,751","1,978","3,318","4,172","7,649",,"12,325","13,791","18,968","22,722","20,197","35,383","31,688","37,157","41,659","43,965",5.54
Fiji,TFR,,,,,,,,,,,,,,,"4,087","18,147","24,389","26,395","23,775","28,333","40,174","49,083",22.18
Finland,TCER,,,"10,910","10,657","11,385","14,110","24,992","44,577","40,755","49,384","37,435","49,399","53,299","39,866","32,603","39,217","50,280","59,491","79,379","85,389","121,208","158,239",30.55
France,TFR,,,,,,,,,,"463,000","554,000","805,000","832,000","778,000","740,000","841,253","1,047,980","1,291,656","1,595,304","1,654,561","2,196,995","2,004,830",-8.75
France,THSR,,,,,,,,,,,,"573,039","530,488","416,525","395,210","581,205","752,750","836,392","1,230,616","1,292,479","1,936,951","1,524,125",-21.31
France,TCER,,,,,,,,,,,,,,,,"567,734","769,380","852,779","1,316,990","1,389,364","2,023,070","1,637,922",-19.04
French Polynesia,TFR,,,,,,,,,,,,,440,388,543,"1,143",978,"1,183","1,876","3,268","5,555","5,987",7.78
French Polynesia,THSR,,,,,,,,,,,,,373,334,503,"1,081",923,"1,159","1,812","3,176","5,469","5,941",8.63
Georgia,VFR,1,30,89,239,550,973,575,791,955,730,747,"2,083","1,693","1,771","2,013","2,725","6,522","9,995","8,830","8,632","9,555","14,075",47.31
Georgia,THSR,,,,,,169,122,196,568,147,271,737,924,542,920,582,"4,099","4,439","5,040","5,135","10,275","9,811",-4.52
Germany,THSR,"107,779","124,519","137,372","156,329","170,120","204,420","224,480","258,791","257,185","372,873","403,272","424,832","443,726","402,972","367,819","491,112","615,346","729,438","837,489","994,224","1,346,375","1,324,091",-1.66
Germany,TCER,"117,069","132,950","142,671","161,939","178,107","214,688","237,183","270,459","268,057","387,375","418,235","441,495","462,293","421,452","384,576","510,611","637,362","757,290","870,748","1,033,470","1,393,254","1,363,979",-2.10
Greece,TFR,,,,,,,,,,,,,,"5,941","7,793","13,620","15,838","12,203","28,328","47,482","55,097",,
Greece,THSR,,,,,,,,,,,"26,669","40,461","51,245","49,883","48,033","59,268","87,323","88,450","134,901","241,636","283,808","220,843",-22.19
Greece,TCER,,,,,,,,,,,"26,699","40,489","51,269","49,944","48,096","59,342","87,390","88,541","135,028","241,888","284,251","221,143",-22.20
Grenada,TFN,,,,,,,,,,,,,,,,,,208,84,466,427,307,-28.10
Guam,TFR,,782,996,"1,074","1,100",787,868,"1,236",,914,840,"1,124","1,504","1,951","3,286","4,765","7,068","8,939","11,225","16,280","23,698","27,013",13.99
Guinea,TFN,,,,,240,549,810,,"1,041",,"1,575","1,696","1,874",,,,"5,906","2,739","4,447","2,908","2,551",,
Guinea,TFR,,,,,,,,,"1,002","1,515","1,562","1,681","1,870",,,,"5,790","2,667","4,396","2,785","2,561",,
Guinea,THSR,,,,,,,,,136,244,292,536,638,,,,"2,404",910,"1,347","1,425","1,694",,
Guyana,TFR,196,215,151,,,,,,,,,,,,,,,,,,,,
Honduras,TFN,"1,370",998,923,,135,"1,094","1,174",892,"1,055","1,120","1,330","2,313","1,137","1,489","1,831","2,539","2,865","5,280","4,695",732,867,,
"Hong Kong, China",TFR,,,,"2,048,800","2,341,300","2,707,200","3,065,900","4,757,300","5,692,500","7,793,900","8,029,700","8,434,300","9,092,700","9,379,700","9,663,600","11,678,055","13,599,768","15,110,372","17,089,509","19,077,014","17,996,827","17,364,946",-3.51
"Hong Kong, China",VFR,"2,243,245","2,389,341","2,364,223","2,671,628","3,206,452","3,785,845","4,448,583","6,825,199","8,467,211","12,245,862","12,541,400","13,591,342","15,485,789","16,862,003","17,956,731","22,684,388","28,100,129","34,911,395","40,745,277","47,247,675","45,842,360","42,778,145",-6.68
Iceland,TFN,342,224,399,287,403,564,,,,,,,"9,533","5,760","5,368","5,194","8,784","14,036","17,597","26,037","47,643","66,781",40.17
Iceland,THSN,,,,,,,,,,,"5,519","7,208","7,933","4,678","4,910","3,453","5,721","10,365","21,018","31,161","75,944","129,127",70.03
Iceland,TCEN,,,,,,,,,,,"5,843","7,721","8,537","5,352","6,458","4,940","7,836","13,643","28,473","44,899","106,125","159,608",50.40
India,TFN,"5,111","5,613","7,369","4,312","6,487","14,420","13,901","15,422","21,152","34,100","44,897","62,330","88,103","98,093","100,209","119,530","142,218","168,952","174,712","181,020","206,322","251,313",21.81
Indonesia,VFN,,,,,"17,875","16,266","18,028","19,840","31,497","39,936","128,681","182,341","269,216","354,641","444,598","511,188","594,997","726,088","858,140","1,052,705","1,260,700","1,556,771",23.48
